hotelName,hotelDetail,comment_tag,summary,summery_description,summery_special_tag,summary_score_tag,summary_reviews
瑞穗檳城休閒渡假農莊,978台灣花蓮縣瑞穗鄉中山路二段111號•+886 972 507 182,[],在 38 則評論中，獲得 4.1 顆星 (滿分為 5 顆星)。很好。,,"['可攜帶寵物 : 在附近類似的飯店中，只有 4% 允許攜帶寵物', '地點絕佳 : 房客喜歡這間飯店的地點']","['', '4.1很好\xa0|\xa038 則評論']","['陳遊客""價格合理 舒適的房間 老闆娘人很好還會自己做早餐給旅客 重點是早餐吃到飽""', '李威翰""內部房間滿乾淨的，還有大場地，可以讓團體來使用，我覺得很棒""', '陳姵樺""隔音還可以，房間不小，但美中不足沒有乾濕分離""']"
Easy Life 簡單生活。民宿,950台灣台東縣台東市中華路一段892巷136號,"['廚房廚房在 24 則 Google 評論中有提到92% 的評論持正面評價 ', '停車場停車場在 45 則 Google 評論中有提到93% 的評論持正面評價 ', '酒吧酒吧在 20 則 Google 評論中有提到85% 的評論持正面評價 ', '設施設施在 41 則 Google 評論中有提到76% 的評論持正面評價 ', '早餐早餐在 32 則 Google 評論中有提到72% 的評論持正面評價 ', '浴室浴室在 35 則 Google 評論中有提到71% 的評論持正面評價 ', '地點地點在 35 則 Google 評論中有提到91% 的評論持正面評價 ', '設施設施在 89 則 Google 評論中有提到90% 的評論持正面評價 ', '住宿住宿在 37 則 Google 評論中有提到76% 的評論持正面評價 ', '娛樂娛樂在 8 則 Google 評論中有提到50% 的評論持負面評價 ', '氣氛氣氛在 31 則 Google 評論中有提到100% 的評論持正面評價 ', '清潔清潔在 81 則 Google 評論中有提到91% 的評論持正面評價 ', '無障礙設施無障礙設施在 9 則 Google 評論中有提到44% 的評論持正面評價 ', '服務服務在 30 則 Google 評論中有提到73% 的評論持正面評價 ', '大自然大自然在 5 則 Google 評論中有提到100% 的評論持正面評價 ', '餐飲餐飲在 10 則 Google 評論中有提到70% 的評論持正面評價 ', '餐廳餐廳在 7 則 Google 評論中有提到71% 的評論持正面評價 ', '家庭料理家庭料理在 5 則 Google 評論中有提到60% 的評論持正面評價 ', '廚房廚房在 24 則 Google 評論中有提到92% 的評論持正面評價 ', '停車場停車場在 45 則 Google 評論中有提到93% 的評論持正面評價 ', '酒吧酒吧在 20 則 Google 評論中有提到85% 的評論持正面評價 ', '設施設施在 41 則 Google 評論中有提到76% 的評論持正面評價 ', '早餐早餐在 32 則 Google 評論中有提到72% 的評論持正面評價 ', '浴室浴室在 35 則 Google 評論中有提到71% 的評論持正面評價 ', '地點地點在 35 則 Google 評論中有提到91% 的評論持正面評價 ', '設施設施在 89 則 Google 評論中有提到90% 的評論持正面評價 ', '住宿住宿在 37 則 Google 評論中有提到76% 的評論持正面評價 ', '娛樂娛樂在 8 則 Google 評論中有提到50% 的評論持負面評價 ', '氣氛氣氛在 31 則 Google 評論中有提到100% 的評論持正面評價 ', '清潔清潔在 81 則 Google 評論中有提到91% 的評論持正面評價 ', '無障礙設施無障礙設施在 9 則 Google 評論中有提到44% 的評論持正面評價 ', '服務服務在 30 則 Google 評論中有提到73% 的評論持正面評價 ', '大自然大自然在 5 則 Google 評論中有提到100% 的評論持正面評價 ', '餐飲餐飲在 10 則 Google 評論中有提到70% 的評論持正面評價 ', '餐廳餐廳在 7 則 Google 評論中有提到71% 的評論持正面評價 ', '家庭料理家庭料理在 5 則 Google 評論中有提到60% 的評論持正面評價 ']",在 385 則評論中，獲得 4.6 顆星 (滿分為 5 顆星)。非常好。,,"['評分最高 : 這間飯店的使用者評分在這個地區名列前茅', '評價絕佳的衛浴設備 : 房客喜歡這間飯店的浴室和盥洗用品', '免費 Wi-Fi : 在附近類似的飯店中，有 57% 免費提供 Wi-Fi', '免費停車場 : 在附近類似的飯店中，只有 19% 提供免費停車', '免費早餐 : 在附近類似的飯店中，只有 28% 免費提供早餐', '地點絕佳 : 房客喜歡這間飯店的地點', '睡得很安穩 : 房客表示他們在這間飯店睡得很好']","['', '4.6非常好\xa0|\xa0385 則評論']","['Kenji""房子設計的很棒 房間採光很好 大廳挑高氣派 房價合理 台東必住民宿""', '陳彥禎""Cp值高 乾淨舒適空間大 樓下有免費吐司和咖啡 老闆回復速度快""', 'Mike Hsieh""會客室提供免費飲料及簡易早餐, 房間設計高雅, 有洗衣機, 整體而言就是小而美.""']"
Hai Sheng Wei B&B,"3 星級飯店No.91, Qixing St., Xincheng Township, 新城鄉台灣 971•+886 912 151 178",[],在 1 則評論中，獲得 5.0 顆星 (滿分為 5 顆星)。非常好。,,"['評分最高 : 這間飯店的使用者評分在這個地區名列前茅', '地點絕佳 : 房客喜歡這間飯店的地點']","['', '5.0非常好\xa0|\xa01 則評論']",[]
力麗哲園 - 日潭館,4 星級飯店555台灣南投縣魚池鄉水秀街7號•+886 4 9285 0022,"['大自然大自然在 48 則 Google 評論中有提到88% 的評論持正面評價 ', '設施設施在 55 則 Google 評論中有提到85% 的評論持正面評價 ', '清潔清潔在 59 則 Google 評論中有提到80% 的評論持正面評價 ', '服務服務在 88 則 Google 評論中有提到77% 的評論持正面評價 ', '地點地點在 49 則 Google 評論中有提到71% 的評論持正面評價 ', '餐飲餐飲在 16 則 Google 評論中有提到69% 的評論持正面評價 ', '餐廳餐廳在 19 則 Google 評論中有提到74% 的評論持正面評價 ', '早餐早餐在 42 則 Google 評論中有提到62% 的評論持正面評價 ', '設施設施在 66 則 Google 評論中有提到67% 的評論持正面評價 ', '停車場停車場在 32 則 Google 評論中有提到41% 的評論持負面評價 ', '浴室浴室在 26 則 Google 評論中有提到50% 的評論持負面評價 ', '住宿住宿在 20 則 Google 評論中有提到55% 的評論持正面評價 ', '健身健身在 15 則 Google 評論中有提到47% 的評論持正面評價 ', '游泳池游泳池在 12 則 Google 評論中有提到50% 的評論持正面評價 ', '健康與保健健康與保健在 8 則 Google 評論中有提到62% 的評論持正面評價 ', '無障礙設施無障礙設施在 8 則 Google 評論中有提到88% 的評論持負面評價 ', '家庭料理家庭料理在 7 則 Google 評論中有提到71% 的評論持正面評價 ', '美容/按摩服務美容/按摩服務在 6 則 Google 評論中有提到83% 的評論持正面評價 ', '氣氛氣氛在 7 則 Google 評論中有提到100% 的評論持正面評價 ', '大自然大自然在 48 則 Google 評論中有提到88% 的評論持正面評價 ', '設施設施在 55 則 Google 評論中有提到85% 的評論持正面評價 ', '清潔清潔在 59 則 Google 評論中有提到80% 的評論持正面評價 ', '服務服務在 88 則 Google 評論中有提到77% 的評論持正面評價 ', '地點地點在 49 則 Google 評論中有提到71% 的評論持正面評價 ', '餐飲餐飲在 16 則 Google 評論中有提到69% 的評論持正面評價 ', '餐廳餐廳在 19 則 Google 評論中有提到74% 的評論持正面評價 ', '早餐早餐在 42 則 Google 評論中有提到62% 的評論持正面評價 ', '設施設施在 66 則 Google 評論中有提到67% 的評論持正面評價 ', '停車場停車場在 32 則 Google 評論中有提到41% 的評論持負面評價 ', '浴室浴室在 26 則 Google 評論中有提到50% 的評論持負面評價 ', '住宿住宿在 20 則 Google 評論中有提到55% 的評論持正面評價 ', '健身健身在 15 則 Google 評論中有提到47% 的評論持正面評價 ', '游泳池游泳池在 12 則 Google 評論中有提到50% 的評論持正面評價 ', '健康與保健健康與保健在 8 則 Google 評論中有提到62% 的評論持正面評價 ', '無障礙設施無障礙設施在 8 則 Google 評論中有提到88% 的評論持負面評價 ', '家庭料理家庭料理在 7 則 Google 評論中有提到71% 的評論持正面評價 ', '美容/按摩服務美容/按摩服務在 6 則 Google 評論中有提到83% 的評論持正面評價 ', '氣氛氣氛在 7 則 Google 評論中有提到100% 的評論持正面評價 ']",在 608 則評論中，獲得 4.2 顆星 (滿分為 5 顆星)。很好。,,"['免費停車場 : 在附近類似的飯店中，有 66% 提供免費停車', '地點絕佳 : 房客喜歡這間飯店的地點']","['', '4.2很好\xa0|\xa0608 則評論']","['黃彬哲""風景幽美，靠近湖邊的地方，地點適中，房間優雅清潔衛生，服務親切，高貴不貴。""', 'Liang""在日月潭地區是很棒的一個飯店，服務人員親切，可以放鬆的來一趟旅程""', '大俠""設備的部分可以去本館，那裡有泳池、三溫暖、撞球跟Xbox360設施""']"
逢甲S+,407台灣台中市西屯區西屯路二段湳仔巷9-11號•+886 929 583 637,[],在 2 則評論中，獲得 3.0 顆星 (滿分為 5 顆星)。一般。,,[],"['', '3.0一般\xa0|\xa02 則評論']",[]
睡海邊,270台灣宜蘭縣蘇澳鎮東澳路101巷19號•+886 932 090 655,"['服務服務在 27 則 Google 評論中有提到93% 的評論持正面評價 ', '氣氛氣氛在 12 則 Google 評論中有提到92% 的評論持正面評價 ', '清潔清潔在 46 則 Google 評論中有提到80% 的評論持正面評價 ', '大自然大自然在 67 則 Google 評論中有提到76% 的評論持正面評價 ', '設施設施在 22 則 Google 評論中有提到73% 的評論持正面評價 ', '地點地點在 37 則 Google 評論中有提到65% 的評論持正面評價 ', '浴室浴室在 55 則 Google 評論中有提到49% 的評論持正面評價 ', '住宿住宿在 17 則 Google 評論中有提到53% 的評論持負面評價 ', '廚房廚房在 8 則 Google 評論中有提到50% 的評論持負面評價 ', '設施設施在 9 則 Google 評論中有提到89% 的評論持正面評價 ', '夜生活夜生活在 7 則 Google 評論中有提到57% 的評論持正面評價 ', '大眾運輸大眾運輸在 6 則 Google 評論中有提到67% 的評論持正面評價 ', '酒吧酒吧在 6 則 Google 評論中有提到83% 的評論持正面評價 ', '家庭料理家庭料理在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '餐飲餐飲在 6 則 Google 評論中有提到67% 的評論持正面評價 ', '服務服務在 27 則 Google 評論中有提到93% 的評論持正面評價 ', '氣氛氣氛在 12 則 Google 評論中有提到92% 的評論持正面評價 ', '清潔清潔在 46 則 Google 評論中有提到80% 的評論持正面評價 ', '大自然大自然在 67 則 Google 評論中有提到76% 的評論持正面評價 ', '設施設施在 22 則 Google 評論中有提到73% 的評論持正面評價 ', '地點地點在 37 則 Google 評論中有提到65% 的評論持正面評價 ', '浴室浴室在 55 則 Google 評論中有提到49% 的評論持正面評價 ', '住宿住宿在 17 則 Google 評論中有提到53% 的評論持負面評價 ', '廚房廚房在 8 則 Google 評論中有提到50% 的評論持負面評價 ', '設施設施在 9 則 Google 評論中有提到89% 的評論持正面評價 ', '夜生活夜生活在 7 則 Google 評論中有提到57% 的評論持正面評價 ', '大眾運輸大眾運輸在 6 則 Google 評論中有提到67% 的評論持正面評價 ', '酒吧酒吧在 6 則 Google 評論中有提到83% 的評論持正面評價 ', '家庭料理家庭料理在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '餐飲餐飲在 6 則 Google 評論中有提到67% 的評論持正面評價 ']",在 428 則評論中，獲得 4.1 顆星 (滿分為 5 顆星)。很好。,,[],"['', '4.1很好\xa0|\xa0428 則評論']","['Yen Legerlous""雅房的浴室在房間外，房子門口可以烤肉，老闆提供桌椅可以坐著聊天。""', 'Anita""營地氣氛悠閒、設備齊全，有交誼廳可以聊天、看電視，且衛浴空間乾淨！""', 'Robert Tseng""風景好，近海港海港邊有玩水密境，魚船回港還可以去批魚貨，新鮮又便宜""']"
澎湖采憶民宿 Cherry Inn,3 星級飯店880004台灣澎湖縣馬公市敬業街5號•+886 933 301 300,"['清潔清潔在 14 則 Google 評論中有提到79% 的評論持正面評價 ', '地點地點在 6 則 Google 評論中有提到67% 的評論持正面評價 ', '設施設施在 8 則 Google 評論中有提到75% 的評論持正面評價 ', '服務服務在 5 則 Google 評論中有提到100% 的評論持正面評價 ', '清潔清潔在 14 則 Google 評論中有提到79% 的評論持正面評價 ', '地點地點在 6 則 Google 評論中有提到67% 的評論持正面評價 ', '設施設施在 8 則 Google 評論中有提到75% 的評論持正面評價 ', '服務服務在 5 則 Google 評論中有提到100% 的評論持正面評價 ']",在 51 則評論中，獲得 4.8 顆星 (滿分為 5 顆星)。非常好。,,"['評分最高 : 這間飯店的使用者評分在這個地區名列前茅', '靠近大眾運輸站 : 房客很喜歡這間飯店，因為這裡鄰近大眾運輸系統']","['', '4.8非常好\xa0|\xa051 則評論']","['熊大兔兔""房間乾淨舒適、寧靜安全，是到澎湖觀光旅遊住宿的最佳選擇！""', '張羽翔""貴民宿的老闆和老闆娘很親切，管家人也不錯。""', '邱奕清""可以再加一顆星！六星級cp值超高，老闆人超好😊']"
香湖國際大飯店,3 星級飯店600台灣嘉義市西區友忠路559號•+886 5 231 1999,"['早餐早餐在 58 則 Google 評論中有提到55% 的評論持正面評價 ', '停車場停車場在 40 則 Google 評論中有提到45% 的評論持正面評價 ', '浴室浴室在 72 則 Google 評論中有提到75% 的評論持負面評價 ', '娛樂娛樂在 16 則 Google 評論中有提到75% 的評論持負面評價 ', '空調空調在 21 則 Google 評論中有提到81% 的評論持負面評價 ', '健身健身在 7 則 Google 評論中有提到43% 的評論持負面評價 ', '餐廳餐廳在 22 則 Google 評論中有提到45% 的評論持正面評價 ', '服務服務在 91 則 Google 評論中有提到51% 的評論持正面評價 ', '清潔清潔在 77 則 Google 評論中有提到48% 的評論持負面評價 ', '商務設施商務設施在 9 則 Google 評論中有提到67% 的評論持正面評價 ', '住宿住宿在 57 則 Google 評論中有提到72% 的評論持負面評價 ', '設施設施在 100 則 Google 評論中有提到44% 的評論持負面評價 ', '廚房廚房在 10 則 Google 評論中有提到50% 的評論持負面評價 ', '餐飲餐飲在 19 則 Google 評論中有提到63% 的評論持負面評價 ', '設施設施在 41 則 Google 評論中有提到63% 的評論持負面評價 ', '無障礙設施無障礙設施在 9 則 Google 評論中有提到89% 的評論持負面評價 ', '酒吧酒吧在 7 則 Google 評論中有提到71% 的評論持負面評價 ', '地點地點在 19 則 Google 評論中有提到68% 的評論持正面評價 ', '氣氛氣氛在 8 則 Google 評論中有提到75% 的評論持正面評價 ', '早餐早餐在 58 則 Google 評論中有提到55% 的評論持正面評價 ', '停車場停車場在 40 則 Google 評論中有提到45% 的評論持正面評價 ', '浴室浴室在 72 則 Google 評論中有提到75% 的評論持負面評價 ', '娛樂娛樂在 16 則 Google 評論中有提到75% 的評論持負面評價 ', '空調空調在 21 則 Google 評論中有提到81% 的評論持負面評價 ', '健身健身在 7 則 Google 評論中有提到43% 的評論持負面評價 ', '餐廳餐廳在 22 則 Google 評論中有提到45% 的評論持正面評價 ', '服務服務在 91 則 Google 評論中有提到51% 的評論持正面評價 ', '清潔清潔在 77 則 Google 評論中有提到48% 的評論持負面評價 ', '商務設施商務設施在 9 則 Google 評論中有提到67% 的評論持正面評價 ', '住宿住宿在 57 則 Google 評論中有提到72% 的評論持負面評價 ', '設施設施在 100 則 Google 評論中有提到44% 的評論持負面評價 ', '廚房廚房在 10 則 Google 評論中有提到50% 的評論持負面評價 ', '餐飲餐飲在 19 則 Google 評論中有提到63% 的評論持負面評價 ', '設施設施在 41 則 Google 評論中有提到63% 的評論持負面評價 ', '無障礙設施無障礙設施在 9 則 Google 評論中有提到89% 的評論持負面評價 ', '酒吧酒吧在 7 則 Google 評論中有提到71% 的評論持負面評價 ', '地點地點在 19 則 Google 評論中有提到68% 的評論持正面評價 ', '氣氛氣氛在 8 則 Google 評論中有提到75% 的評論持正面評價 ']",在 675 則評論中，獲得 3.4 顆星 (滿分為 5 顆星)。一般。,,"['免費停車場 : 在附近類似的飯店中，有 61% 提供免費停車', '地點絕佳 : 房客喜歡這間飯店的地點']","['', '3.4一般\xa0|\xa0675 則評論']","['施怡瑄Billy""離鬧區不遠，價格便宜，房間安靜，停車超方便，早餐肉燥飯和豆漿大推！""', '陳小美""舊飯店空間配置不擁擠，有免費餅乾茶包咖啡包，附近有夜市可是好像不熱鬧""', 'Huang T-P""陸客團的住宿飯店，有大型停車場，距離嘉義車站不遠！""']"
小琉球蔡老師民宿,929台灣屏東縣琉球鄉民族路2號•+886 971 508 028,"['地點地點在 41 則 Google 評論中有提到98% 的評論持正面評價 ', '酒吧酒吧在 9 則 Google 評論中有提到100% 的評論持正面評價 ', '娛樂娛樂在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '設施設施在 69 則 Google 評論中有提到96% 的評論持正面評價 ', '餐飲餐飲在 16 則 Google 評論中有提到94% 的評論持正面評價 ', '清潔清潔在 63 則 Google 評論中有提到98% 的評論持正面評價 ', '服務服務在 48 則 Google 評論中有提到100% 的評論持正面評價 ', '設施設施在 13 則 Google 評論中有提到100% 的評論持正面評價 ', '氣氛氣氛在 21 則 Google 評論中有提到100% 的評論持正面評價 ', '夜生活夜生活在 6 則 Google 評論中有提到83% 的評論持正面評價 ', '家庭料理家庭料理在 7 則 Google 評論中有提到100% 的評論持正面評價 ', '住宿住宿在 16 則 Google 評論中有提到94% 的評論持正面評價 ', '大自然大自然在 8 則 Google 評論中有提到100% 的評論持正面評價 ', '地點地點在 41 則 Google 評論中有提到98% 的評論持正面評價 ', '酒吧酒吧在 9 則 Google 評論中有提到100% 的評論持正面評價 ', '娛樂娛樂在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '設施設施在 69 則 Google 評論中有提到96% 的評論持正面評價 ', '餐飲餐飲在 16 則 Google 評論中有提到94% 的評論持正面評價 ', '清潔清潔在 63 則 Google 評論中有提到98% 的評論持正面評價 ', '服務服務在 48 則 Google 評論中有提到100% 的評論持正面評價 ', '設施設施在 13 則 Google 評論中有提到100% 的評論持正面評價 ', '氣氛氣氛在 21 則 Google 評論中有提到100% 的評論持正面評價 ', '夜生活夜生活在 6 則 Google 評論中有提到83% 的評論持正面評價 ', '家庭料理家庭料理在 7 則 Google 評論中有提到100% 的評論持正面評價 ', '住宿住宿在 16 則 Google 評論中有提到94% 的評論持正面評價 ', '大自然大自然在 8 則 Google 評論中有提到100% 的評論持正面評價 ']",在 292 則評論中，獲得 5.0 顆星 (滿分為 5 顆星)。非常好。,,"['評價絕佳的客房清潔服務 : 房客對這間飯店的整潔程度感到滿意', '評分最高 : 這間飯店的使用者評分在這個地區名列前茅', '免費停車場 : 在附近類似的飯店中，只有 4% 提供免費停車', '地點絕佳 : 房客喜歡這間飯店的地點', '睡得很安穩 : 房客表示他們在這間飯店睡得很好']","['', '5.0非常好\xa0|\xa0292 則評論']","['小尾""交通位置很好 老闆很nice,推薦很多美食 浮潛行程也很棒 下次還想再來。""', '林弘祥""老闆人很熱心房間都有大陽台，很乾淨有質感。是很有溫度舒服的民宿""', 'Anfernee Yu""門口除了有隱藏鞋櫃和人工草皮外還有一個沖水的空間。民宿內的用品品質相當不錯！""']"
天子閣飯店 Tenz Go Hotel,803台灣高雄市鹽埕區七賢三路128號•+886 7 532 8899,[],在 30 則評論中，獲得 3.4 顆星 (滿分為 5 顆星)。一般。,,"['免費停車場 : 在附近類似的飯店中，只有 28% 提供免費停車', '鄰近駁二藝術特區 : 房客喜歡這間飯店，因為這裡鄰近駁二藝術特區']","['', '3.4一般\xa0|\xa030 則評論']","['Danny Wang""二特區、還能體驗輕軌鐵道感受港都高雄多樣化的魅力，真心推薦👍', 'Larry Lin""房間隔音差，隔壁小孩的哭聲跟外面馬路的汽機車聲音超大，失敗！""', '葉阿凱""半透明浴廁門我就不說了，只能相信同住的房客都是在看電視或滑手機。""']"
