hotelName,hotelDetail,comment_tag,summary,summery_description,summery_special_tag,summary_score_tag,summary_reviews
台中一中夏天住宿,3 星級飯店40444台灣台中市北區錦新街70號•+886 916 910 487,"['地點地點在 34 則 Google 評論中有提到85% 的評論持正面評價 ', '清潔清潔在 56 則 Google 評論中有提到93% 的評論持正面評價 ', '安全安全在 5 則 Google 評論中有提到80% 的評論持正面評價 ', '商務設施商務設施在 14 則 Google 評論中有提到79% 的評論持正面評價 ', '設施設施在 64 則 Google 評論中有提到92% 的評論持正面評價 ', '服務服務在 34 則 Google 評論中有提到91% 的評論持正面評價 ', '住宿住宿在 20 則 Google 評論中有提到50% 的評論持正面評價 ', '停車場停車場在 6 則 Google 評論中有提到50% 的評論持正面評價 ', '家庭料理家庭料理在 6 則 Google 評論中有提到67% 的評論持正面評價 ', '無障礙設施無障礙設施在 6 則 Google 評論中有提到67% 的評論持負面評價 ', '夜生活夜生活在 5 則 Google 評論中有提到60% 的評論持負面評價 ', '氣氛氣氛在 9 則 Google 評論中有提到89% 的評論持正面評價 ', '餐飲餐飲在 5 則 Google 評論中有提到80% 的評論持正面評價 ', '浴室浴室在 7 則 Google 評論中有提到43% 的評論持負面評價 ', '設施設施在 6 則 Google 評論中有提到67% 的評論持負面評價 ', '地點地點在 34 則 Google 評論中有提到85% 的評論持正面評價 ', '清潔清潔在 56 則 Google 評論中有提到93% 的評論持正面評價 ', '安全安全在 5 則 Google 評論中有提到80% 的評論持正面評價 ', '商務設施商務設施在 14 則 Google 評論中有提到79% 的評論持正面評價 ', '設施設施在 64 則 Google 評論中有提到92% 的評論持正面評價 ', '服務服務在 34 則 Google 評論中有提到91% 的評論持正面評價 ', '住宿住宿在 20 則 Google 評論中有提到50% 的評論持正面評價 ', '停車場停車場在 6 則 Google 評論中有提到50% 的評論持正面評價 ', '家庭料理家庭料理在 6 則 Google 評論中有提到67% 的評論持正面評價 ', '無障礙設施無障礙設施在 6 則 Google 評論中有提到67% 的評論持負面評價 ', '夜生活夜生活在 5 則 Google 評論中有提到60% 的評論持負面評價 ', '氣氛氣氛在 9 則 Google 評論中有提到89% 的評論持正面評價 ', '餐飲餐飲在 5 則 Google 評論中有提到80% 的評論持正面評價 ', '浴室浴室在 7 則 Google 評論中有提到43% 的評論持負面評價 ', '設施設施在 6 則 Google 評論中有提到67% 的評論持負面評價 ']",在 220 則評論中，獲得 4.5 顆星 (滿分為 5 顆星)。非常好。,,"['評分最高 : 這間飯店的使用者評分在這個地區名列前茅', '地點絕佳 : 房客喜歡這間飯店的地點', '受商務旅客歡迎 : 商務旅客很喜歡這間飯店']","['', '4.5非常好\xa0|\xa0220 則評論']","['呂沂庭""一進到房間就讓人有放鬆的感覺!會是我再造訪一中商圈首選民宿。老闆真的很親切唷""', 'Queena Chen""服務貼心，住宿距離夜市很近，值得推薦""', 'Joanna Ko""漂亮老闆娘服務親切，還介紹了很多附近美食和景點""']"
鄉村民宿,978台灣花蓮縣瑞穗鄉溫泉路一段23巷4弄2號•+886 954 096 226,"['服務服務在 45 則 Google 評論中有提到91% 的評論持正面評價 ', '家庭料理家庭料理在 10 則 Google 評論中有提到100% 的評論持正面評價 ', '氣氛氣氛在 21 則 Google 評論中有提到90% 的評論持正面評價 ', '停車場停車場在 17 則 Google 評論中有提到88% 的評論持正面評價 ', '設施設施在 83 則 Google 評論中有提到86% 的評論持正面評價 ', '清潔清潔在 85 則 Google 評論中有提到85% 的評論持正面評價 ', '地點地點在 23 則 Google 評論中有提到83% 的評論持正面評價 ', '大眾運輸大眾運輸在 13 則 Google 評論中有提到69% 的評論持正面評價 ', '住宿住宿在 33 則 Google 評論中有提到70% 的評論持正面評價 ', '浴室浴室在 36 則 Google 評論中有提到47% 的評論持負面評價 ', '設施設施在 27 則 Google 評論中有提到52% 的評論持正面評價 ', '娛樂娛樂在 10 則 Google 評論中有提到60% 的評論持正面評價 ', '廚房廚房在 8 則 Google 評論中有提到62% 的評論持正面評價 ', '空調空調在 7 則 Google 評論中有提到43% 的評論持中立評價 ', '大自然大自然在 7 則 Google 評論中有提到100% 的評論持正面評價 ', '早餐早餐在 5 則 Google 評論中有提到40% 的評論持正面評價 ', '服務服務在 45 則 Google 評論中有提到91% 的評論持正面評價 ', '家庭料理家庭料理在 10 則 Google 評論中有提到100% 的評論持正面評價 ', '氣氛氣氛在 21 則 Google 評論中有提到90% 的評論持正面評價 ', '停車場停車場在 17 則 Google 評論中有提到88% 的評論持正面評價 ', '設施設施在 83 則 Google 評論中有提到86% 的評論持正面評價 ', '清潔清潔在 85 則 Google 評論中有提到85% 的評論持正面評價 ', '地點地點在 23 則 Google 評論中有提到83% 的評論持正面評價 ', '大眾運輸大眾運輸在 13 則 Google 評論中有提到69% 的評論持正面評價 ', '住宿住宿在 33 則 Google 評論中有提到70% 的評論持正面評價 ', '浴室浴室在 36 則 Google 評論中有提到47% 的評論持負面評價 ', '設施設施在 27 則 Google 評論中有提到52% 的評論持正面評價 ', '娛樂娛樂在 10 則 Google 評論中有提到60% 的評論持正面評價 ', '廚房廚房在 8 則 Google 評論中有提到62% 的評論持正面評價 ', '空調空調在 7 則 Google 評論中有提到43% 的評論持中立評價 ', '大自然大自然在 7 則 Google 評論中有提到100% 的評論持正面評價 ', '早餐早餐在 5 則 Google 評論中有提到40% 的評論持正面評價 ']",在 394 則評論中，獲得 4.4 顆星 (滿分為 5 顆星)。很好。,,"['免費停車場 : 在附近類似的飯店中，有 57% 提供免費停車', '受家庭旅客歡迎 : 家庭旅客很喜歡這間飯店']","['', '4.4很好\xa0|\xa0394 則評論']","['Yen Ghita""老闆好親切，住宿cp值高，房間格局佳，離火車站近，廚房洗衣機都有~~非常方便""', '謝豐丞""價格便宜到哭爸，CP值很高，但品質就中下，適合單車環島有預算壓力的窮學生""', 'megan Li""適合親朋好友聚會烤肉，建議自備防蚊液，二樓的景會更好。有提供洗衣機。""']"
寰宇民宿,金門縣金湖鎮料羅里新塘20號•+886 8 233 7027,[],在 1 則評論中，獲得 2.0 顆星 (滿分為 5 顆星)。一般。,,[],"['', '2.0一般\xa0|\xa01 則評論']",[]
Yilan Affectivity,268台灣宜蘭縣五結鄉•+886 975 963 863,[],在 2 則評論中，獲得 4.5 顆星 (滿分為 5 顆星)。非常好。,,"['評分最高 : 這間飯店的使用者評分在這個地區名列前茅', '早餐美味 : 房客喜歡這間飯店的早餐', '服務親切 : 房客喜歡這間飯店的服務']","['', '4.5非常好\xa0|\xa02 則評論']",[]
七里香民宿,354台灣苗栗縣獅潭鄉•+886 3 799 1150,"['設施設施在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '清潔清潔在 5 則 Google 評論中有提到80% 的評論持正面評價 ', '設施設施在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '清潔清潔在 5 則 Google 評論中有提到80% 的評論持正面評價 ']",在 31 則評論中，獲得 4.5 顆星 (滿分為 5 顆星)。非常好。,,"['評分最高 : 這間飯店的使用者評分在這個地區名列前茅', '可攜帶寵物 : 在附近類似的飯店中，只有 19% 允許攜帶寵物']","['', '4.5非常好\xa0|\xa031 則評論']","['Sung-Yu Wu""老闆娘熱情好客，房間簡單乾淨。對面就是草莓園，採草莓很方便。""', '林炳煌""超棒的輕鬆舒適的地方""', 'Sean Chiu""沒有華麗裝潢，就真的是民宿！但價格實惠，CP值高！""']"
Vitality House,"No. 20, 民有街羅東鎮台灣 265•+886 909 818 499","['停車場停車場在 5 則 Google 評論中有提到80% 的評論持正面評價 ', '住宿住宿在 6 則 Google 評論中有提到50% 的評論持正面評價 ', '清潔清潔在 13 則 Google 評論中有提到77% 的評論持正面評價 ', '地點地點在 5 則 Google 評論中有提到60% 的評論持正面評價 ', '設施設施在 10 則 Google 評論中有提到80% 的評論持正面評價 ', '停車場停車場在 5 則 Google 評論中有提到80% 的評論持正面評價 ', '住宿住宿在 6 則 Google 評論中有提到50% 的評論持正面評價 ', '清潔清潔在 13 則 Google 評論中有提到77% 的評論持正面評價 ', '地點地點在 5 則 Google 評論中有提到60% 的評論持正面評價 ', '設施設施在 10 則 Google 評論中有提到80% 的評論持正面評價 ']",在 36 則評論中，獲得 4.4 顆星 (滿分為 5 顆星)。很好。,,[],"['', '4.4很好\xa0|\xa036 則評論']","['劉丞泰""老闆人非常好 熱心介紹夜市美食 價格公道 環境舒適""', 'Hui Chen""房間很乾淨舒適，隔音好，老闆人非常好，推👍，下次再光臨宜蘭一定還會選擇這間！', '陳易聖""地點好，又安靜，早餐店就在轉角外。""']"
芹壁山城民宿,210連江縣北竿鄉芹壁村71號•+886 8 365 5630,"['清潔清潔在 13 則 Google 評論中有提到100% 的評論持正面評價 ', '服務服務在 11 則 Google 評論中有提到100% 的評論持正面評價 ', '大自然大自然在 10 則 Google 評論中有提到90% 的評論持正面評價 ', '設施設施在 9 則 Google 評論中有提到78% 的評論持正面評價 ', '清潔清潔在 13 則 Google 評論中有提到100% 的評論持正面評價 ', '服務服務在 11 則 Google 評論中有提到100% 的評論持正面評價 ', '大自然大自然在 10 則 Google 評論中有提到90% 的評論持正面評價 ', '設施設施在 9 則 Google 評論中有提到78% 的評論持正面評價 ']",在 83 則評論中，獲得 4.5 顆星 (滿分為 5 顆星)。非常好。,,"['評分最高 : 這間飯店的使用者評分在這個地區名列前茅', '評價絕佳的客房清潔服務 : 房客對這間飯店的整潔程度感到滿意', '地點絕佳 : 房客喜歡這間飯店的地點']","['', '4.5非常好\xa0|\xa083 則評論']","['黃意雯""很棒 老闆親切 民宿附近有美食 房間有wifi而且可以直接跟民宿老闆租車""', '丘應明""美，舒適，夜晚，海浪，沙灘""', '賴福基""風景好，主人熱情！就是交通不是太方便！""']"
潮州民宿-夏慕里11號旅宿SUMMERLE NO.11,920台灣屏東縣潮州鎮愛國路100巷11號•+886 933 309 454,"['清潔清潔在 32 則 Google 評論中有提到88% 的評論持正面評價 ', '服務服務在 21 則 Google 評論中有提到81% 的評論持正面評價 ', '設施設施在 38 則 Google 評論中有提到84% 的評論持正面評價 ', '停車場停車場在 8 則 Google 評論中有提到75% 的評論持正面評價 ', '家庭料理家庭料理在 6 則 Google 評論中有提到50% 的評論持正面評價 ', '住宿住宿在 17 則 Google 評論中有提到71% 的評論持正面評價 ', '廚房廚房在 6 則 Google 評論中有提到33% 的評論持中立評價 ', '浴室浴室在 10 則 Google 評論中有提到50% 的評論持正面評價 ', '設施設施在 10 則 Google 評論中有提到60% 的評論持正面評價 ', '氣氛氣氛在 12 則 Google 評論中有提到100% 的評論持正面評價 ', '地點地點在 8 則 Google 評論中有提到75% 的評論持正面評價 ', '清潔清潔在 32 則 Google 評論中有提到88% 的評論持正面評價 ', '服務服務在 21 則 Google 評論中有提到81% 的評論持正面評價 ', '設施設施在 38 則 Google 評論中有提到84% 的評論持正面評價 ', '停車場停車場在 8 則 Google 評論中有提到75% 的評論持正面評價 ', '家庭料理家庭料理在 6 則 Google 評論中有提到50% 的評論持正面評價 ', '住宿住宿在 17 則 Google 評論中有提到71% 的評論持正面評價 ', '廚房廚房在 6 則 Google 評論中有提到33% 的評論持中立評價 ', '浴室浴室在 10 則 Google 評論中有提到50% 的評論持正面評價 ', '設施設施在 10 則 Google 評論中有提到60% 的評論持正面評價 ', '氣氛氣氛在 12 則 Google 評論中有提到100% 的評論持正面評價 ', '地點地點在 8 則 Google 評論中有提到75% 的評論持正面評價 ']",在 163 則評論中，獲得 4.2 顆星 (滿分為 5 顆星)。很好。,,[],"['', '4.2很好\xa0|\xa0163 則評論']","['楷育""老闆娘親切 感受到滿滿的熱情 房間大且舒適 屏東環境清幽 有機會一定再去住""', '奕良""延平路上公有停車場，晚上即可至圓環週邊壓馬路，住房的品質真的很棒，cp值超高。""', 'Ying Lin""如有洗衣需求，可自行至4樓頂陽台使用洗衣機並於該處晾衣服。""']"
For Better Good,224台灣新北市瑞芳區瑞芳街37號•+886 2 2496 0337,[],在 4 則評論中，獲得 5.0 顆星 (滿分為 5 顆星)。非常好。,,"['評分最高 : 這間飯店的使用者評分在這個地區名列前茅', '免費早餐 : 在附近類似的飯店中，只有 28% 免費提供早餐', '靠近大眾運輸站 : 房客很喜歡這間飯店，因為這裡鄰近大眾運輸系統', '地點絕佳 : 房客喜歡這間飯店的地點']","['', '5.0非常好\xa0|\xa04 則評論']",[]
弘果民宿 / 瑞穗火車站前,978台灣花蓮縣瑞穗鄉中山路一段16號•+886 933 485 926,"['大眾運輸大眾運輸在 7 則 Google 評論中有提到86% 的評論持正面評價 ', '浴室浴室在 7 則 Google 評論中有提到43% 的評論持中立評價 ', '住宿住宿在 7 則 Google 評論中有提到57% 的評論持正面評價 ', '服務服務在 7 則 Google 評論中有提到100% 的評論持正面評價 ', '地點地點在 5 則 Google 評論中有提到80% 的評論持正面評價 ', '設施設施在 11 則 Google 評論中有提到82% 的評論持正面評價 ', '清潔清潔在 8 則 Google 評論中有提到75% 的評論持正面評價 ', '大眾運輸大眾運輸在 7 則 Google 評論中有提到86% 的評論持正面評價 ', '浴室浴室在 7 則 Google 評論中有提到43% 的評論持中立評價 ', '住宿住宿在 7 則 Google 評論中有提到57% 的評論持正面評價 ', '服務服務在 7 則 Google 評論中有提到100% 的評論持正面評價 ', '地點地點在 5 則 Google 評論中有提到80% 的評論持正面評價 ', '設施設施在 11 則 Google 評論中有提到82% 的評論持正面評價 ', '清潔清潔在 8 則 Google 評論中有提到75% 的評論持正面評價 ']",在 55 則評論中，獲得 4.0 顆星 (滿分為 5 顆星)。很好。,,[],"['', '4.0很好\xa0|\xa055 則評論']","['哲維許""老闆娘很熱情❤️ 房間床位大價格又漂亮 真的適合環島旅費 節省費用""', '劉建廷""為啥不能給0顆星 我真的沒有住過那麼爛的旅店""', 'Gary Lam""員工服務不錯，很貼心。但是晚上洗澡跟早上刷牙時廁所都出現蟑螂。""']"
